Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C7",0805,3,22uF,
"C10, C13, C14, C3, C4, C5, C8",0805,7,100nF,
"C12, C9",0805,2,10uF,
C6,0805,1,1uF,
D1,0805,1,5V PWR,
D2,0805,1,STATUS,
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB-C USB2 sink,
J2,TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm,1,EXT 5V IN,
J4,microSD_HC_Molex_104031-0811,1,microSD SPI,
J6,PinHeader_1x08_P2.54mm_Vertical,1,SPI EXP,
J7,PinHeader_1x04_P2.54mm_Vertical,1,I2C EXP,
J8,PinHeader_1x12_P2.54mm_Vertical,1,GPIO EXP,
JP1,SW-SMD_MS-22D28-G020,1,5V source switch,
JP2,SW-SMD_MS-22D28-G020,1,GPIO2 LED SW,
"Q1, Q2",SOT-23,2,SS8050/MMBT3904,
Q3,SOT-23,1,MMBT3904,
"R1, R2",0805,2,5.1k,
R10,0805,1,1k,
"R11, R12, R13",0805,3,22R,
"R14, R15, R16, R17, R18, R24, R4, R5, R6, R7",0805,10,10k,
"R19, R20",0805,2,4.7k,
R25,0805,1,100k,
R3,0805,1,2.2k,
SW1,SW_SPST_TL3342,1,EN/RST,
SW2,SW_SPST_TL3342,1,BOOT,
TP1,TestPoint_Pad_D1.5mm,1,5V_SYS,
TP10,TestPoint_Pad_D1.5mm,1,SD_SCK,
TP11,TestPoint_Pad_D1.5mm,1,SD_MOSI,
TP12,TestPoint_Pad_D1.5mm,1,SD_MISO,
TP13,TestPoint_Pad_D1.5mm,1,SD_CS,
TP14,TestPoint_Pad_D1.5mm,1,I2S_BCLK,
TP15,TestPoint_Pad_D1.5mm,1,I2S_WS,
TP16,TestPoint_Pad_D1.5mm,1,I2S_DOUT,
TP17,TestPoint_Pad_D1.5mm,1,AMP_MUTE_CTL,
TP18,TestPoint_Pad_D1.5mm,1,AMP_SD_MODE,
TP2,TestPoint_Pad_D1.5mm,1,3V3,
TP3,TestPoint_Pad_D1.5mm,1,GND,
TP4,TestPoint_Pad_D1.5mm,1,EN,
TP5,TestPoint_Pad_D1.5mm,1,BOOT,
TP6,TestPoint_Pad_D1.5mm,1,UART0_TX,
TP7,TestPoint_Pad_D1.5mm,1,UART0_RX,
TP8,TestPoint_Pad_D1.5mm,1,GPIO32,
TP9,TestPoint_Pad_D1.5mm,1,GPIO33,
U1,SOIC-16_3.9x9.9mm_P1.27mm,1,CH340C,
U2,SOT-23-5,1,AP2112K-3.3,
U3,ESP32-WROOM-32E,1,ESP32-WROOM-32E,
U4,PinHeader_1x07_P2.54mm_Vertical,1,MAX98357A blue module,
